#           k/h    P           
    0.48050E+01    0.87590E+01
    0.49021E+01    0.84652E+01
    0.50011E+01    0.81793E+01
    0.51021E+01    0.79013E+01
    0.52052E+01    0.76310E+01
    0.53104E+01    0.73683E+01
    0.54176E+01    0.71130E+01
    0.55271E+01    0.68651E+01
    0.56387E+01    0.66243E+01
    0.57526E+01    0.63905E+01
    0.58689E+01    0.61636E+01
    0.59874E+01    0.59435E+01
    0.61084E+01    0.57299E+01
    0.62318E+01    0.55229E+01
    0.63577E+01    0.53221E+01
    0.64861E+01    0.51276E+01
    0.66171E+01    0.49391E+01
    0.67508E+01    0.47565E+01
    0.68872E+01    0.45797E+01
    0.70263E+01    0.44086E+01
    0.71682E+01    0.42430E+01
    0.73130E+01    0.40828E+01
    0.74608E+01    0.39279E+01
    0.76115E+01    0.37781E+01
    0.77653E+01    0.36333E+01
    0.79221E+01    0.34934E+01
    0.80822E+01    0.33582E+01
    0.82454E+01    0.32277E+01
    0.84120E+01    0.31016E+01
    0.85819E+01    0.29800E+01
    0.87553E+01    0.28626E+01
    0.89322E+01    0.27494E+01
    0.91126E+01    0.26402E+01
    0.92967E+01    0.25348E+01
    0.94845E+01    0.24333E+01
    0.96761E+01    0.23355E+01
    0.98716E+01    0.22412E+01
    0.10071E+02    0.21504E+01
    0.10274E+02    0.20630E+01
    0.10482E+02    0.19788E+01
    0.10694E+02    0.18978E+01
    0.10910E+02    0.18198E+01
    0.11130E+02    0.17447E+01
    0.11355E+02    0.16726E+01
    0.11584E+02    0.16032E+01
    0.11818E+02    0.15364E+01
    0.12057E+02    0.14723E+01
    0.12301E+02    0.14107E+01
    0.12549E+02    0.13514E+01
    0.12803E+02    0.12945E+01
    0.13061E+02    0.12399E+01
    0.13325E+02    0.11874E+01
    0.13594E+02    0.11370E+01
    0.13869E+02    0.10886E+01
    0.14149E+02    0.10421E+01
    0.14435E+02    0.99757E+00
    0.14727E+02    0.95479E+00
    0.15024E+02    0.91374E+00
    0.15328E+02    0.87436E+00
    0.15637E+02    0.83659E+00
    0.15953E+02    0.80036E+00
    0.16275E+02    0.76561E+00
    0.16604E+02    0.73230E+00
    0.16940E+02    0.70037E+00
    0.17282E+02    0.66976E+00
    0.17631E+02    0.64042E+00
    0.17987E+02    0.61230E+00
    0.18351E+02    0.58536E+00
    0.18721E+02    0.55956E+00
    0.19099E+02    0.53485E+00
    0.19485E+02    0.51119E+00
    0.19879E+02    0.48854E+00
    0.20280E+02    0.46687E+00
    0.20690E+02    0.44613E+00
    0.21108E+02    0.42629E+00
    0.21535E+02    0.40731E+00
    0.21970E+02    0.38916E+00
    0.22413E+02    0.37181E+00
    0.22866E+02    0.35522E+00
    0.23328E+02    0.33936E+00
    0.23799E+02    0.32421E+00
    0.24280E+02    0.30973E+00
